Date,Open,Higest,Lowest,Close,Volume,Turnover
2016/8/11,3239.56,3274.03,3232.61,3233.36,101041213,1.17E+11
2016/8/12,3231.81,3294.23,3231.14,3294.23,116254044,1.29E+11
2016/8/15,3303.47,3417.91,3302.38,3393.42,220543421,2.59E+11
2016/8/16,3403.38,3418.69,3372.02,3378.25,196389740,2.27E+11
2016/8/17,3377.77,3394.39,3356.92,3373.05,138847688,1.68E+11
2016/8/18,3369.95,3394.79,3349.69,3364.49,142380169,1.72E+11
2016/8/19,3358.55,3374.04,3341.19,3365.02,119961508,1.35E+11
2016/8/22,3364.68,3372.83,3335.47,3336.79,107951008,1.28E+11
2016/8/23,3332.62,3359.65,3324.96,3341.83,92924516,1.09E+11
2016/8/24,3341.93,3348.13,3323.73,3329.86,81191429,94012833792
2016/8/25,3314.08,3315.08,3279.81,3308.97,100589153,1.13E+11
2016/8/26,3312.5,3328.95,3301.74,3307.09,81530691,93213204480
2016/8/29,3306.57,3315.08,3297.07,3307.78,77036333,88011644928
2016/8/30,3310.32,3325.12,3304.6,3311.99,75725987,89513017344
2016/8/31,3310.57,3333.97,3304.66,3327.79,79570805,99215040512
2016/9/1,3326.74,3329.35,3301.21,3301.58,84947219,1.01E+11
2016/9/2,3298.72,3320.43,3295.76,3314.11,82791803,99396378624
2016/9/5,3321.01,3338.42,3314.63,3319.68,78292477,87531085824
2016/9/6,3322.02,3347.95,3300.13,3342.63,98283998,1.18E+11
2016/9/7,3344.07,3357.36,3337.75,3340.82,102940106,1.15E+11
2016/9/8,3338.01,3343.4,3328.23,3339.56,71916158,83742343168
2016/9/9,3339.37,3344.95,3318.04,3318.04,82657036,95471190016
2016/9/12,3271.87,3276.72,3234.57,3262.6,122917682,1.34E+11
2016/9/13,3265.34,3269.22,3246.39,3260.33,67180288,76862644224
2016/9/14,3245.74,3255,3231.34,3238.73,70432697,79780749312
2016/9/19,3242.74,3264.9,3242.74,3263.12,58831082,67678031872
2016/9/20,3264.67,3265.03,3252.39,3257.4,52784206,61626150912
2016/9/21,3257.71,3270.9,3254.32,3266.64,59142979,68957741056
2016/9/22,3281.47,3303.2,3277.98,3291.12,75753542,89991757824
2016/9/23,3292.28,3293.92,3275.02,3275.67,57993986,68046258176
2016/9/26,3267.69,3267.69,3220.28,3220.28,70452186,78700838912
2016/9/27,3214.87,3240.78,3214.44,3240.75,58460550,66651131904
2016/9/28,3243.65,3243.65,3228,3230.89,44727498,51996405760
2016/9/29,3234.86,3257.77,3234.8,3244.39,55452556,62220300288
2016/9/30,3240.18,3260.94,3239.04,3253.28,44978022,52655734784
2016/10/10,3265.36,3294.64,3258.96,3293.87,80519260,89607987200
2016/10/11,3296.87,3308,3292.88,3306.56,87713163,88213422080
2016/10/12,3299.14,3302.56,3289.75,3300.01,68669781,72386912256
2016/10/13,3299.16,3307.41,3292.4,3302.65,81224198,79923748864
2016/10/14,3298.73,3306.69,3285.73,3305.85,82316271,81485594624
2016/10/17,3305.96,3309.01,3271.54,3277.88,86113509,88199421952
